,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
414,Data Scientist,Employer Provided Salary:$130K - $200K,"Multi-INT Integrator
Location: CHANTILLY, VA, United States
Travel: Yes, Up to 40% of the Time
Minimum Clearance Required: TS/SCI
Clearance Level Must Be Able to Obtain: TS/SCI with Poly
Potential for Remote Work: No Remote
Job Description
InPursuit is looking for an experienced Data Scientist to join a team of Intelligence Integrators and help solve mission-focused operational problems. Stationed at customer locations area, the Intelligence Integration team provides support for local operational needs while also helping integrate and advocate for Intel Community and DoD tools, services, and data. This individual will support real-time data collection, analysis, and data fusion to identify and convey intelligence meaning from multiple intelligence sources. In collaboration with government staff, this individual will support the design, development, deployment, and maintenance of sophisticated analytic models as required to answer key intelligence questions. The individual will use machine learning, deep learning, and artificial intelligence algorithms and analytic discovery techniques to process and analyze large volumes of data to infer, predict, and alert on target activity of importance to internal and external client customers. The individual will also ensure continuous, smooth function of data processing and automated functions.",-1,InPursuit LLC,"McLean, VA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
415,Data Scientist,Employer Provided Salary:$165K,"Duties may include:
Work with various stakeholders to develop data strategies and provide the data necessary to meet AOEA requirements.
Collaborate across a diverse team utilizes industry standard technology, communication and visualization tools to enable line of business missions.
Use data mining for structured and unstructured information to satisfy deployer requests.
Apply advanced analytics capabilities to derive insights from a combination of unstructured, semi-structured, and structured data.
Maintain, move, and manipulate data between applications and across NGA Domains, using appropriate",5.0,"Trinity Global Consulting, LLC
5.0","Springfield, VA",1 to 50 Employees,2011,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
416,AI Software Engineer,Employer Provided Salary:$74K - $166K,"Don't be a Cog in Big-Tech's Wheel
At ON1, your skills solve real-world problems in amazing new ways. We believe in the power and ownership of individual engineers, so we clear the decks so they can be productive. There are no politics, no micro-managing, and a minimal amount of process.
About ON1
ON1 is a 17-year-old, privately-owned company headquartered in Portland, OR. We've provided award-winning software to millions of photographers worldwide. We put the photographer first, and this means our customers have complete control over every aspect of their photography. Our mission is to deliver the tools photographers need to organize, edit and share their photos.",-1,"ON1, inc.","Portland, OR",-1,-1,-1,-1,-1,-1
417,Senior Data Scientist,$113K - $144K (Glassdoor est.),"About Blue Cross
Blue Cross and Blue Shield of Minnesota is one of the most recognized and trusted health care brands in the world with 2.5 million members. We’re committed to reinventing health care to improve health for our members and the community. We hope you'll join us.
How is this Role Important to Our Work?
This position works across the Enterprise to identify areas of opportunities to build process efficiencies, innovate and contribute using advanced analytics and data science. The position will manage sophisticated data and information to provide meaningful results, which influence strategic decision-making at Blue Cross. Responsibilities include understanding sophisticated business requirements, data management and stewardship for a variety of sophisticated data sources, data analysis and the application of sophisticated analytical techniques, and building predictive models to create value for the organization.
A Day in the Life:
Teleworker",3.8,"Blue Cross and Blue Shield of Minnesota
3.8","Eagan, MN",1001 to 5000 Employees,1933,Nonprofit Organization,Insurance Carriers,Insurance,$25 to $100 million (USD)
418,"Policy Analyst - Data Science, AI/ML (Hybrid)",$63K - $88K (Glassdoor est.),"The National Association of Mutual Insurance Companies (NAMIC) has a full-time opportunity for a Policy Analyst – Data Science & AI/ML at our Indianapolis, IN location. This position will contribute to the execution of NAMIC’s strategies in pursuit of objectives related to regulation of the insurance marketplace, analysis of legislative and regulatory policies at the state and federal level and at the National Association of Insurance Commissioners (NAIC), and effectively advocate members’ interests through written communication and oral testimony.
Responsibilities for this position include, but aren’t limited to:
Acts as a Subject Matter Expert and thought leader on legislative and regulatory developments at all levels of government.
Serves as an integral part of the NAMIC Public Policy Team to ensure comprehensive issue coverage in conjunction with all NAMIC advocates.",4.2,"National Association of Mutual Insurance Companies (NAMIC)
4.2","Indianapolis, IN",51 to 200 Employees,1895,Nonprofit Organization,Membership Organizations,Management & Consulting,$5 to $25 million (USD)
419,Machine Learning Engineer,Employer Provided Salary:$80K - $125K,"Current Openings:
Signal Processing- Machine Learning- AI Engineer/Scientist
Vadum is seeking a Senior Signal Processing Engineer/Scientist to develop machine learning and complex signal processing algorithms. The individual should be capable of leading efforts or playing a key role in a variety of machine learning and algorithm development for next-generation applications; including radar, detection, classification, compression, fusion and encryption.
Responsibilities may include:
Participate in the development of innovative detection, estimation and classification algorithms and techniques for advanced applications.",-1,Vadum Inc,"Raleigh, NC",-1,-1,-1,-1,-1,-1
420,"Associate Director, Data Science (Biomarker, Omics)",Employer Provided Salary:$192K - $288K,"200+ compounds are supported by the quantitative drug developers in Early Development Analytics at Novartis. We transform data from multiple sources - clinical, biomarker, digital sensor, imaging - into analyses and insights that build the basis for making innovative drugs accessible for patients. We influence decision-making in cross-functional international teams from early to late phase drug development.

The Early Development Analytics group is searching for an Associate Director Data Scientist. As the successful candidate, you will drive the biomarker strategy for early and late development clinical programs in multiple indications or a disease area, working closely with interdisciplinary teams to analyze and interpret biomarker data to inform critical project decisions and understand mechanisms of response/resistance to therapy. You will be responsible for designing and executing the biomarker strategy in those programs to inform drug development, and you will set the strategy for addressing biomarker issues in early/late phase trials, regulatory submissions and directly influence drug development decisions with internal and external partners.

What you’ll be doing: Your responsibilities include, but are not limited to:

This position will be located at the Cambridge, MA site and will not have the ability to be located remotely. This position may require 1% travel as defined by the business (domestic and/ or international).",4.0,"Novartis
4.0","Cambridge, MA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
421,Insurance Predictive Modeling Supervisor (Hybrid),Employer Provided Salary:$73K - $162K,"The Predictive Modeling Supervisor is responsible for updating line of business pricing models, support of ongoing initiatives, and identifying new opportunities for application of advanced predictive modeling techniques to drive significant business value. The Predictive Modeling Supervisor is responsible for the leadership and development towards the growth of team members within the analytics modeling team. They will provide technical leadership with expert level knowledge. The Predictive Modeling Supervisor will collaborate with key stakeholders and business leaders across the organization to solve complex business problems and create model-driven solutions for pricing, growth, and profitability.
Duties & Responsibilities:
Lead and develop a wide range of data-driven predictive models to create re-usable processes and methodologies for delivering results and pricing models",3.7,"NYCM Insurance
3.7","Edmeston, NY",501 to 1000 Employees,1958,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD)
422,Senior Developer Technology Engineer - AI,Employer Provided Salary:$176K - $334K,"NVIDIA is looking for a passionate, world-class computer scientist to work in its Compute Developer Technology (Devtech) team as an AI Developer Technology Engineer. Artificial intelligence, the dream of computer scientists for over half a century, is no longer science fiction. And in the next few years, it will transform every industry. Soon, self-driving cars will reduce congestion and improve road safety. AI travel agents will know your preferences and arrange every detail of your family vacation. And medical instruments will read and understand patient DNA to detect and treat early signs of cancer. Where engines made us stronger and powered the first industrial revolution, AI will make us smarter and power the next. What will make this intelligent industrial revolution possible? A new computing model — GPU deep learning — that enables computers to learn from data and write software that is too complex for people to code.
What you will be doing:
Study and develop cutting-edge techniques in deep learning, graphs, machine learning, and data analytics, and perform in-depth analysis and optimization to ensure the best possible performance on current- and next-generation GPU architectures.
The base salary range is $176,000 - $333,500. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.",4.7,"NVIDIA
4.7","Santa Clara, CA",10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
423,Sr. Program Analyst (Data Analyst),Employer Provided Salary:$65K - $72K,"Organizational Development Resource Group (ODRG), LLC is a management consulting company that provides professional services to organizations within DoD, Federal, Commercial, and non - profit sectors. ODRG professional consultants provide management consulting and administrative support services. We assist our customers with strategic direction, implementation, and evaluation efforts that optimize their workforce and ultimately enhance the effectiveness of the organization. Our consultants have designed and delivered value added solutions for government and private organizations that have resulted in organizational effectiveness; process efficiency, strengthen workforce, and cost savings.
The Sr. Program Analyst must have experience in managing and analyzing data and utilizing various existing internal and external information technology applications and systems. The Sr. Program Analyst shall conduct both basic and complex data analysis to produce management information reports, written analytical reports, and presentations based on data analysis. The Sr. Program Analyst shall produce standardized document templates, mail merge files and other correspondence, and prepare and disseminate both individual and mass correspondence for distribution to recipients. The Sr. Program Analyst shall conduct analysis and make recommendations to improve the overall effectiveness and efficiency of Regional Office operations including quality assurance processes and modifications to improve the effectiveness of Regional Office internal work processes.",2.8,"Organizational Development Resource Group, LLC
2.8","Boston, MA",1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable
424,"Senior Data Scientist (On-Site in Wichita, KS)",$74K - $116K (Glassdoor est.),"DEPARTMENT: Analytics
JOB TITLE: Senior Data Scientist
REPORTS TO: Director of Analytics
WHO WE ARE: Nuvative is a parent company that is helping businesses meet their goals through innovative technology and impactful employees. To recruit and retain top-notch talent, we consciously work to make and keep Nuvative an employer of choice. We provide our employees with a culture of kindness, fairness, learning and development, contribution, collaboration, diversity, innovative and fun.
JOB PURPOSE: The Senior Data Scientist will provide accurate and timely data support, analysis and maintenance using statistical math and algorithms on a variety of reports, charts, models and projects that have a direct impact on all aspects of Net Pay Advance, Inc. The Senior Data Scientist works closely with the other Data Scientist regarding efficiency, analysis, quality goals, and market and product trends while supporting cross-functional teams on the day-to-day delivery of projects and initiatives.",4.0,"Nuvative, Inc.
4.0","Wichita, KS",1 to 50 Employees,2007,Company - Private,Banking & Lending,Financial Services,$5 to $25 million (USD)
425,Technical Lead - AI/Machine Learning Engineer,Employer Provided Salary:$185K - $215K,"As part of the R&D Artificial Intelligence/Machine Learning (AI/ML) Algorithms team, the Technical Lead, AI/ML Engineer, will research and develop Artificial Intelligence and Machine Learning systems for use in clinical settings. It is a cutting-edge research and development opportunity with a key focus on analyzing data to discover the relationships among various measurements and medically relevant conditions and developing computational models for disease diagnosis, detection, and prediction of critical events.
Responsibilities will include working with data such as image/video, speech, electronic medical records as well as continuous streams from invasive and non-invasive sensors. The AI/ML Engineering Lead will also closely work with our software, hardware and systems teams to ensure an efficient deployment in Masimo products.
Duties & Responsibilities",3.3,"Masimo
3.3","Irvine, CA",5001 to 10000 Employees,1989,Company - Public,Health Care Products Manufacturing,Manufacturing,$1 to $5 billion (USD)
426,Director of Data Science,Employer Provided Salary:$180K - $240K,"Overview: Darwill is a nationally recognized print and marketing communications firm based in the west suburbs of Chicago. As a premier provider of complex marketing products, including direct mail, employee communications and marketing collateral, we influence excellent results for CMO’s, Directors of Marketing and Print Production Professionals by providing ideas, workflow solutions, cutting edge production technologies and a seamless execution process. Our diverse product offering includes data acquisition, email appends, integrated marketing services, production workflows, custom print production, direct mail solutions, fulfillment and complete lettershop, bindery and mailing services.
Location: Oakbrook, IL (Hyrbid)
Reports to: CEO
Darwill is looking for an experienced Director of Data Science with a proven track record of delivering value to help us develop our growing Data Strategy and Analytics practice. Managing 7 direct reports, the Director of Data Science is responsible for leading a team to build enterprise-scale AI and data solutions that are advancing the fields of AI and Direct Marketing.",4.2,"Darwill, Inc.
4.2","Oakbrook Terrace, IL",201 to 500 Employees,1951,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
427,Data Scientist Senior Technical Specialist,Employer Provided Salary:$119K - $285K,"Responsibilities
The Data Engineer will support the Sponsor's organization with leveraging best practices to implement means to efficiently create, organize, process, store, and utilize data collected from multiple sources. Responsibilities include, but are not limited to:
Provide technical expertise in the use of various data applications, tools, and services
Evaluate and recommend available data management tools, services, and products to support validated user and/or system requirements
Refining (and potentially re-defining) existing ETL (extract, transform, load) processes
Define file organization, indexing methods, and security procedures for specific user applications",4.1,"Arcfield
4.1","Reston, VA",1001 to 5000 Employees,2021,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD)
428,Sr Principal Data Scientist,Employer Provided Salary:$123K - $185K,"Requisition ID: R10102740
Category: Research and Sciences
Location: Clearfield, UT, USA
Citizenship Required: United States Citizenship
Clearance Type: Secret
Telecommute: No- Teleworking not available for this position
Shift: Shift 4 (United States of America)
Relocation Assistance: Relocation assistance may be available",4.0,"Northrop Grumman
4.0","Clearfield, UT",10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
429,Data Scientist,Employer Provided Salary:$165K,"Duties may include:
Work with various stakeholders to develop data strategies and provide the data necessary to meet AOEA requirements.
Collaborate across a diverse team utilizes industry standard technology, communication and visualization tools to enable line of business missions.
Use data mining for structured and unstructured information to satisfy deployer requests.
Apply advanced analytics capabilities to derive insights from a combination of unstructured, semi-structured, and structured data.
Maintain, move, and manipulate data between applications and across NGA Domains, using appropriate",5.0,"Trinity Global Consulting, LLC
5.0","Springfield, VA",1 to 50 Employees,2011,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
430,Senior Data Analyst,Employer Provided Salary:$115K,"Senior Data Analyst (ETL/Power BI/SSIS/SSRS)
Local Candidates Only!
Our client is expanding again and seeking a talented Senior Data Analyst. This is a FULL TIME/DIRECT HIRE position. You MUST have a Green Card or be a US Citizen. We are unable to sponsor. Qualified candidates will have similar experience with the following:
Strong Data Analyst with Healthcare/Clinical experience
SQL
Must have SSIS and SSRS
Power BI",4.5,"Liberty Personnel Services
4.5","Philadelphia, PA",1 to 50 Employees,2003,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD)
431,Machine Learning Engineer,Employer Provided Salary:$105K - $155K,"Job Description Overview:
Vectrus seeks a results-driven individual with Machine Learning experience in support of web application development and native Linux software development in an Agile Software Development environment. As a Machine Learning Engineer, you will be responsible for the design, development, implementation, and validation of software that identifies and classifies systems transmitting in the RF spectrum. You will lead the research of appropriate Machine Learning methodologies, the integration with existing software suites, and the documentation and reporting of results.
You will join our team of over 30 years’ worth of leading-edge engineering experience to manage and promote the efficient use of radio frequencies through research, development, testing, and evaluation for federal, commercial, and international clients. Vectrus provides innovative, cost-effective service solutions to U.S. government customers around the world. Our solutions are designed to ensure successful outcomes for our customers, earning their trust every day. We operate in a highly dynamic global environment with constantly changing opportunities for career development and advancement.",3.6,"Vectrus
3.6","King George, VA",10000+ Employees,1945,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
432,Data Scientist (V),Employer Provided Salary:$140K - $180K,"DCI Job Requirement for:
Data Scientist
Location: APG, MD
Job Description
Serve as a Data Scientist for C5ISR Sustainment
Develop and implement natural language processing models for cyber defense
Manage large technical projects, including:
Scoping work
Interfacing with other teams",3.7,"DCI Solutions
3.7","Aberdeen, MD",1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable
433,Machine Learning Developer,Employer Provided Salary:$95K - $150K,"Job Title: ML Developer Department: Operations
Exempt Status: Full-time, Exempt Supervisor: Software Architect
Location: Portland, Oregon
What if we could interact with the digital world just as naturally as we interact with the physical world?
Offering the world’s first washable, stretchable circuits and strain sensors, Liquid Wire brings game changing new capabilities to wearable technology. Unlike conventional flex circuitry, Liquid Wire’s fluid-phase Metal Gel conductor stretches with the body’s movements and reflows back into place without harming wearable performance. Not only can Liquid Wire circuits host any technology that a traditional PCB can, each stretchable Metal Gel trace also acts as a highly effective linear strain sensor. This allows incredibly precise 3D motion capture anywhere on the body, with circuits so thin and stretchable they are essentially unnoticeable to the wearer.",-1,Liquid Wire Inc.,"Portland, OR",-1,-1,-1,-1,-1,-1
434,Machine Learning Operations Engineer,$84K - $120K (Glassdoor est.),"At VyStar, we offer competitive pay, an excellent benefit package that includes a 401(k) Plan, an extensive paid technical and on-the-job training program, and tuition reimbursement-available to all full and part time employees. Part time positions start at a minimum of 30 hours per week.
We encourage you to become a part of VyStar Credit Union's family of employees.
Machine Learning Operations Engineer
ACCOUNTABILITY STATEMENT
As an ML Ops Engineer with the Advanced Analytics Group (AAG), you will be joining an enthusiastic, talented, and passionate team working to create and progress the advanced analytics function at VyStar where you will work to ensure the smooth productionization and deployment of data science assets. In this role you own the end-to-end Machine Learning Pipeline together with CI/CD for our ML Engineering process. You focus on code, versioning of datasets, models, and production endpoints to allow DS teams to collaborate, experiment and scale fast. This position will support VyStar’s mission to deliver remarkable service and value to the membership and will be critical to how AAG deliver solutions involving predictive and prescriptive analytics",3.6,"VyStar Credit Union
3.6","Jacksonville, FL",1001 to 5000 Employees,1952,Nonprofit Organization,Banking & Lending,Financial Services,$10+ billion (USD)
435,Principal Data Scientist,Employer Provided Salary:$100K - $149K,"Requisition ID: R10102744
Category: Research and Sciences
Location: Clearfield, UT, USA
Citizenship Required: United States Citizenship
Clearance Type: Secret
Telecommute: No- Teleworking not available for this position
Shift: 1st Shift (United States of America)
Relocation Assistance: Relocation assistance may be available",4.0,"Northrop Grumman
4.0","Clearfield, UT",10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
436,Senior Artificial Intelligence Engineer - Pioneering the Future of FinTech,Employer Provided Salary:$300K - $500K,"Senior Artificial Intelligence Engineer - Pioneering the Future of FinTech
Are you passionate about the financial industry and the stock market? Do you want to be part of a small yet established team, where your contributions can have a significant impact?
We're a U.S.-based tech company pushing the boundaries of the tech industry. Our goal? To develop the most advanced financial superintelligence for the marketplace that can assimilate the entire world's recorded financial data and predict market trends. Our vision is ambitious, and we need a seasoned AI professional to help make it a reality.
Responsibilities:
Collaborate with a diverse team of software engineers, data scientists, and machine learning (ML) experts to create cutting-edge AI models.",3.7,"Softdev Integrations
3.7","Jacksonville, FL",1 to 50 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
437,"Director, Data Science",Employer Provided Salary:$97K - $176K,"Company Description

At Adtalem Global Education, we seek to empower students and members to achieve their goals, find success and make inspiring contributions to our global community. Adtalem is a leading healthcare educator that partners with organizations to proactively address future workforce needs and empowers career development with access to world-class academic curriculums, certifications and training programs across the medical and healthcare industries.

Adtalem institutions and companies include: American University of the Caribbean School of Medicine, Chamberlain University, Ross University School of Medicine, Ross University School of Veterinary Medicine, and Walden University. (NYSE: ATGE; member S&P MidCap 400 Index) For more information, please visit adtalem.com.",3.2,"Adtalem Global Education
3.2",Remote,10000+ Employees,1931,Company - Public,Colleges & Universities,Education,Unknown / Non-Applicable
438,"Acoustic Signal Processing Engineer - Data Scientist, Machine Learning",Employer Provided Salary:$100K - $159K,"Signal Systems Corporation (SSC) is searching for highly motivated engineers to support the development of next generation sonar systems and sonar signal processing algorithms for a range of Naval applications. You will work alongside scientists and experts in the field to implement new technologies and deliver highly impactful solutions that are changing the state of the art. SSC has a 25-year history of leveraging its institutional and individual expertise in distributed acoustic sensors, active noise control, acoustic surveillance, machine learning, audio enhancement and interference rejection to provide engineering solutions for both government and commercial customers in underwater, sonic and ultrasonic domains.
As a Signal Processing Algorithm Engineer, you will…
Research, design, develop, test, document, and maintain algorithms and software related to active and passive acoustics",-1,Signal Systems Corporation,"Millersville, MD",-1,-1,-1,-1,-1,-1
439,Machine Learning Engineer,-1,"Machine Learning Engineer
About CoVar
CoVar is a small AI/ML R&D software company in Durham, NC, that uses artificial intelligence to solve problems that matter. We develop AI/ML tools to help the DoD detect enemies and threats, help biomedical researchers find new cures for diseases, and help monitor machinery to prevent injuries and environmental catastrophes. We are passionate engineers, dedicated to pushing the bounds of what AI/ML can do in the real world.
About this position
You will help CoVar develop software and machine learning algorithms to solve real-world customer problems. You will work with data, develop algorithms, evaluate results, and write the production code that goes onto real-world systems. You will have the opportunity to present your work to high-level customers in the DoD and in the industry. The position includes opportunities to publish novel work in both classified and unclassified settings.

Applicants should have expertise in Python (including NumPy, pandas, and other packages) and either PyTorch or TensorFlow. Deep understanding of machine learning fundamentals (gradient descent, cross-validation, ROC curves, confusion matrices) are necessary. Knowledge of classical machine learning (e.g., support-vector-machines, logistic regression) are valued. Applicants are ideally familiar with computer vision algorithms like object detection networks (e.g., YOLO, CenterNet) and modern image classification techniques. Previous experience with DoD customers is a plus.",-1,CoVar,"Durham, NC",-1,-1,-1,-1,-1,-1
440,Data Scientist,Employer Provided Salary:$130K - $160K,"Data Scientist
EpochGeo is looking for a mid level Data Scientist to support one of the most innovative, exciting, and growing offices that is rooted in data rich projects in the national security space. All employees will start in the Washington D.C office but upon request and with customer approval may be allowed to work from Reston VA, Charlottesville VA, or College Park MD.
Big data problems can be overwhelming, inaccessible, and noisy. EpochGeo is a data services firm specializing in supporting the full spectrum data cycle: beginning with scalable data storage and ending in producing impactful analytics. Our developers, analysts, and data scientists have a proven track record developing open-source innovative technology and actionable analytics to inform customers’ data driven decisions.
Are you a data scientist, AI/ML practitioner, mathematician, or similar, who loves to work with data, find patterns in it, and then turn it into actionable intelligence? Are you a data scientist who loves to draw out insights from data, and then work collaboratively with analysts and engineers to turn those insights into automated workflows? If so, please reach out to us at EpochGeo to chat.",5.0,"EpochGeo
5.0","Washington, DC",1 to 50 Employees,2020,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
441,Data Scientist,Employer Provided Salary:$76K - $121K,"MCAS New River Marine Corps Installations execute a number of installation service functions contributing to and ensuring the readiness and welfare of Marines. The Air Station readiness assessment process involves data collection and evaluation concerning the criticality of Air Station functional capabilities, resources, manpower and infrastructure based on tenant mission requirements to determine the overall readiness posture of Air Station’s operations.
Duties:
- Develop and implement data models, algorithms, and statistical techniques to analyze large datasets
-Develop models and simulations for additional Air Station services and functions
- Apply data mining techniques to extract insights and patterns from complex data sources",4.3,"Unity Technologies Corporation
4.3","Jacksonville, NC",1 to 50 Employees,-1,Company - Public,Business Consulting,Management & Consulting,Unknown / Non-Applicable
442,"Artificial Intelligence Machine Learning Analyst, Senior",Employer Provided Salary:$93K - $212K,"Key Role:
Design and implement effective AI solution architecture utilizing approaches of various AI technologies and methods to address clients' business problems and needs, while complying with the company's strategies and business goals. Develop and contribute functional knowledge, and working industry knowledge, to solutions to a variety of problems of moderate scope and complexity. Work independently with some guidance. Review or guide activities of more junior employees.
Basic Qualifications:
5+ years of experience with Artificial Intelligence disciplines
Knowledge of DoD AI/ML policies and practices pertaining to big data and analytics
Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $93,300.00 to $212,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees.

ID13-G",4.2,"Booz Allen Hamilton
4.2","Arlington, VA",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
443,AI Software Engineer,Employer Provided Salary:$74K - $166K,"Don't be a Cog in Big-Tech's Wheel
At ON1, your skills solve real-world problems in amazing new ways. We believe in the power and ownership of individual engineers, so we clear the decks so they can be productive. There are no politics, no micro-managing, and a minimal amount of process.
About ON1
ON1 is a 17-year-old, privately-owned company headquartered in Portland, OR. We've provided award-winning software to millions of photographers worldwide. We put the photographer first, and this means our customers have complete control over every aspect of their photography. Our mission is to deliver the tools photographers need to organize, edit and share their photos.",-1,"ON1, inc.","Portland, OR",-1,-1,-1,-1,-1,-1
444,Data Scientist/Data Analyst,Employer Provided Salary:$75K - $85K,"Holman has an exciting Data Scientist opportunity!
Please note, this role does require you to be in office Tuesday through Thursday.
What will you do?
Own, manage, and distribute existing suite of reporting while maintaining critical perspective required to evolve into high power predictive analytics tools and insights
Develop and lead new, innovative analyses which may include dataset manipulation and transformation, piloting of AI and machine learning analytical techniques and technologies, and transformation of static reporting into dynamic visualizations
Responsible for data storytelling via decks and dashboards while efficiently relaying insights to non-technical audiences and senior leadership",3.8,"Holman
3.8","Mount Laurel, NJ",5001 to 10000 Employees,1924,Company - Private,Vehicle Dealers,Retail & Wholesale,$1 to $5 billion (USD)
445,"Director II, Data Science",Employer Provided Salary:$146K - $255K,"Description
Oversee dedicated data science and advanced analytics resources
Own relationship with a defined segment of the business; deliver predictive analytics tools and insights, to include ongoing monitoring of metrics and initiatives
Responsible for management, technical oversight and development for a team of data science and advanced analytics staff, which may include subordinate managers
Collaborate with business partners to develop tools and services such as modeling, dashboard development, and decision aids to drive strategic decisionmaking
Present findings, share insights, and make recommendations that impact profitability, growth and/or customer satisfaction.
Responsible for highly technical, individualized and difficult to develop tools which are transformative in nature and have broad strategic impact to the aligned business unit",3.9,"Liberty Mutual
3.9","Boston, MA",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
446,"Principal Engineer, Machine Learning",Employer Provided Salary:$152K - $190K,"ITHAKA's mission is to expand access to knowledge and education around the world. Our services — Artstor, JSTOR, Portico, and Ithaka S+R — enable people everywhere to learn, to grow, and to overcome historical barriers to education. In carrying out our mission, as employees we feel a deep responsibility to each other and our well-being, and are committed to building and sustaining a diverse, equitable, and inclusive workplace.
The Role
ITHAKA is hiring a Principal Engineer, Machine Learning (ML) to support our journey of developing next-generation graphs, recommender systems, data products, and Variational Autoencoders. Join ITHAKA to develop deep connections between content types (video, text, images), and user needs, and collaborate with product teams to fine-tune products.",3.9,"ITHAKA
3.9","Ann Arbor, MI",201 to 500 Employees,1995,Nonprofit Organization,Internet & Web Services,Information Technology,$25 to $100 million (USD)
447,Senior Predictive Modeler,Employer Provided Salary:$90K,"Sitewise Analytics is a recognized, boutique, customer-centric company that has been on the North American commercial real estate scene providing predictive analytics software and solutions since 2012. Industry-leading corporations and franchisors partner with Sitewise Analytics to work out varied business questions from sales forecasting and sales impact assessment, to portfolio optimization and whitespace analysis. Clients include Burger King, Wingstop, Lululemon, The North Face, Aspen Dental, Banfield Pet Hospitals and many other organizations in the restaurant, retail and healthcare sectors.
This role will be based at Sitewise Analytics’ office in Plano, TX, along with other members of the Predictive Analytics Team. The Team uses a hybrid model of working from home and at the office. The company’s owners intentionally facilitate an extraordinary environment that engages employees to stretch, grow and deliver outstanding business support services to customers. At the heart of Sitewise Analytics is a nimble, diverse, motivated and passionate Predictive Analytics Team. The members of the team interact directly with decision-makers at several levels within client companies. Using a dynamic mix of machine learning approaches blended with classical statistical techniques and spatial analytics, the members of the team develop predictive models and provide strategic advice to decision-makers in customer organizations. As a result of successful growth, the Sitewise Analytics Team is delightfully expanding to include another Senior Predictive Modeler.",-1,Sitewise Analytics,"Dallas, TX",-1,-1,-1,-1,-1,-1
448,Senior Application Data Analyst-IN PERSON,Employer Provided Salary:$100K - $130K,"Senior Application Data Analyst - IN PERSON
Summary
Interborough Developmental and Consultation Center, Inc a licensed out-patient mental health organization that is committed to providing the highest level of care to the Brooklyn community is seeking a Senior Application Data Analyst. This is a senior level position responsible for leading applications data analysis and programming activities in the implementation of new or revised systems and programs. The Senior Application Data Analyst reports directly to the Chief Information Officer.
This is an In-Person position - YOU MUST LIVE IN NYC/FIVE BOROUGHS
RESPONSIBILITIES:",3.4,"Interborough Developmental and Consultation Center
3.4","Brooklyn, NY",Unknown,-1,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
